Date,Open,High,Low,Close,Adj Close,Volume
4/5/2018,161.330002,161.580002,159.479996,160.649994,154.785172,43054900
4/4/2018,154.220001,160.229996,154.039993,159.740005,153.908386,65768700
4/3/2018,156.869995,157.919998,154.440002,157.259995,151.518875,64090000
4/2/2018,158.990005,159.740005,153.880005,155.509995,149.832794,85549400
3/29/2018,158.100006,161.710007,156.630005,160.130005,154.284119,68692600
3/28/2018,158.169998,159.779999,156.039993,157.25,151.509277,89369700
3/27/2018,165.619995,165.619995,157.679993,159.080002,153.272476,78889100
3/26/2018,161.720001,164.600006,159.160004,164.399994,158.398209,57481500
3/23/2018,162.610001,163.300003,158.429993,158.509995,152.723221,80110400
3/22/2018,164.610001,165.770004,162.589996,162.800003,156.856689,66607300
3/21/2018,167.210007,168.759995,166.190002,166.919998,160.826294,43863500
3/20/2018,167.169998,168.039993,166.610001,167.649994,161.529587,34075700
3/19/2018,169.100006,169.220001,165.639999,167.100006,160.99971,71395100
